datetime,open,high,low,close,volume,pure_bond_value,convert_value,pure_bond_premium_rate,convert_premium_rate
2017-07-06,114.96414746284321,115.53881828535512,114.11346094206002,114.59168606108764,2564741.0,88.85740162402362,91.21444450110168,33.68502268392793,35.065704607911684
2017-07-07,115.18887301055669,116.19728615131707,114.92728710014087,115.86270119613309,2340793.0,89.41989428791867,95.45120672007307,33.08635913654048,25.862595381308807
2017-07-10,118.24650582288288,120.6368723130161,116.0224868630091,117.58499606617949,6397089.0,88.84466992865036,101.76145891857999,33.82946650148215,19.152606180420502
2017-07-11,113.87839562931816,114.55881236127061,113.34548390397339,113.71865877227381,3582965.0,88.51308104447016,94.14338426978773,32.03445531192742,24.010236686989685
2017-07-12,115.48693528727947,115.94547988348559,114.41138926101588,114.95247681762959,2862822.0,89.67542319777476,95.31314508666624,32.65056498234958,24.507630592122037
2017-07-13,117.94225592107999,118.92591060405583,117.49322993375011,118.26921321602451,2379929.0,87.40202734321066,99.99819956191972,41.91498634392034,22.156721200632454
2017-07-14,113.61634691569013,114.52285266664246,113.32225350484953,114.24925503731043,2367434.0,89.89005928401804,91.1578681423009,30.72474119367214,29.485241315449553
2017-07-17,114.52771419870749,114.85228918651146,112.72807947041517,113.51222220434028,3976700.0,87.38704342246083,89.62239186292656,39.102510603314315,31.41960560587925
2017-07-18,113.25622875176602,113.92254331663177,111.56898772459077,112.38117853584897,7911834.0,86.6864146352919,98.28867038537462,30.772547982060793,17.09288207138825
2017-07-19,114.02601999987964,116.13502736391933,113.22920117924437,115.90534512409917,9138055.0,86.49936829608708,102.54103594380861,36.828371716344456,15.624011494207465
2017-07-20,112.78354258281016,114.15204113374669,112.47821379762945,113.5672644922961,7071809.0,86.24656022246924,95.92574417895054,34.42756234418945,21.532421827441887
2017-07-21,112.45154640869255,115.73779232257584,112.29408997409821,114.52752289208347,9644120.0,87.25788130680662,92.86519998020556,35.90772772505941,26.66615326308673
2017-07-24,116.13529261069226,120.02541576758776,116.04439029989406,119.63529809948308,48691963.0,83.83725833081735,102.97920846800322,43.3235222070817,16.80935835455638
2017-07-25,117.34168649871098,118.2659301880805,116.18234332626604,116.78840037088473,13301167.0,85.35805352609286,102.43896026726077,37.63056151830137,15.33433390008561
2017-07-26,118.52030439526953,121.48707447537171,117.91984685315734,120.81156890158945,13592386.0,86.37920439187057,113.82004615776069,40.683483627488215,7.908087176747333
2017-07-27,120.59254223193112,121.14108250778999,118.96284009069778,120.4381832299392,11430048.0,85.93784495334579,111.27502396767711,41.395658952070896,11.30512254465598
2017-07-28,120.82538416091448,123.51479766773772,120.44574181862653,122.93615455939063,9411806.0,85.1507441330495,114.32997478754876,46.16266715293536,10.52696068710936
2017-07-31,120.74359593069134,123.41365728117918,119.7198472927845,122.87378622552099,11905757.0,83.8172104550177,110.8965081242377,50.36875182418893,15.807529003229279
2017-08-01,119.71818177889232,121.80973457680626,119.13073216221574,120.64251277020685,12015702.0,85.2309202103714,105.3257268458805,42.99019454564535,17.388493114992368
2017-08-02,121.27161670079377,124.25931206720809,121.03943415209791,123.10205092964955,14213528.0,84.58929247758192,108.82046652881677,47.53396020883767,15.886128540683215
2017-08-03,121.49092167063895,122.34063981047736,120.1973477175752,120.75860340916917,11007022.0,84.84347544936314,103.67400351804511,44.590169130524124,19.437422558263265
2017-08-04,123.08296219210224,126.20763203720396,122.11529816844524,122.60937141412292,14352451.0,86.29018788166566,110.01825595225512,42.77958742580622,13.958654857982095
2017-08-07,121.86304534960838,122.92005889803394,120.48824995308449,121.2952562237546,8840363.0,85.33012777190258,105.9691844162621,43.00435074046168,17.236323946448803
2017-08-08,120.22957420860229,120.98237348694309,119.4275668894207,120.08838307472898,7135224.0,85.59558009839635,102.17182093610516,41.54969224610188,20.530686431974665
2017-08-09,119.14935777202056,119.55448236918586,117.70313674232268,118.01505702764645,6953224.0,86.01621471645383,101.00303249213601,38.587530723819626,19.29396214039703
2017-08-10,115.67983416542819,116.63325539142835,114.82072723736765,115.54516940791271,5856704.0,86.63875731115999,96.75579882708772,34.68388321378372,21.907793958581482
2017-08-11,116.37288988956556,116.60168630915494,114.78339222784113,115.49285774145812,9861327.0,86.4419329081877,98.06655542439674,35.27961503166866,19.9775806370887
2017-08-14,115.55195397243595,117.04872720108341,115.03738642970784,116.6796111339725,7214981.0,86.2093377620537,99.40460017754725,36.33336105266251,19.091005522703384
2017-08-15,115.86792063580836,117.75829375628835,115.57249796213472,116.41202344810443,7152092.0,85.81290135242946,99.421375896465,36.25404747148108,18.698107461844728
2017-08-16,117.70174437791748,119.20988218909193,116.483660309838,117.77116103777172,4354792.0,83.96849855692304,98.04253007512185,41.35058776662583,21.72405067867765
2017-08-17,119.49054987182585,122.49334827189733,119.01366938445253,121.20724075300332,6804804.0,86.54258273318382,108.37005417359559,41.16608872135039,15.296186208169996
