Date,Time,Open,High,Low,Close,Volume
20240207,13:30:00,2034.50,2035.16,2034.13,2034.69,111120
20240207,13:35:00,2034.71,2036.50,2034.63,2035.86,146430
20240207,13:40:00,2035.91,2036.31,2035.53,2035.91,134530
20240207,13:45:00,2035.88,2036.16,2034.07,2034.07,80220
20240207,13:50:00,2034.11,2035.93,2033.99,2035.63,90090
20240207,13:55:00,2035.62,2036.08,2035.38,2036.01,252580
20240207,14:00:00,2036.01,2037.12,2035.56,2036.93,122500
20240207,14:05:00,2036.97,2037.96,2035.70,2036.10,171930
20240207,14:10:00,2036.11,2036.60,2035.39,2036.13,50280
20240207,14:15:00,2036.18,2037.43,2035.61,2036.83,80730
20240207,14:20:00,2036.86,2036.89,2034.72,2034.79,195880
20240207,14:25:00,2034.85,2035.15,2034.30,2034.40,142060
20240207,14:30:00,2034.40,2034.68,2032.58,2033.80,159380
20240207,14:35:00,2033.80,2036.76,2032.82,2036.61,150540
20240207,14:40:00,2036.62,2041.73,2036.01,2040.22,448950
20240207,14:45:00,2040.29,2044.46,2040.11,2044.09,304360
20240207,14:50:00,2044.08,2044.44,2041.62,2042.07,201390
20240207,14:55:00,2042.03,2042.83,2041.12,2042.37,236810
20240207,15:00:00,2042.44,2043.14,2039.70,2039.85,198560
20240207,15:05:00,2039.88,2040.36,2039.12,2039.44,159750
20240207,15:10:00,2039.51,2040.16,2038.97,2039.62,139110
20240207,15:15:00,2039.59,2039.63,2035.32,2035.76,370790
20240207,15:20:00,2035.71,2038.41,2035.58,2037.82,387600
20240207,15:25:00,2037.86,2039.47,2037.72,2038.88,117210
20240207,15:30:00,2038.88,2041.12,2038.36,2039.61,247710
20240207,15:35:00,2039.62,2040.32,2037.22,2040.32,773990
20240207,15:40:00,2040.36,2040.88,2039.84,2040.52,272840
20240207,15:45:00,2040.49,2040.93,2039.38,2040.03,235770
20240207,15:50:00,2040.01,2040.01,2038.63,2039.67,313380
20240207,15:55:00,2039.69,2039.87,2038.12,2038.23,236120
20240207,16:00:00,2038.21,2039.14,2037.82,2038.90,206530
20240207,16:05:00,2038.92,2040.11,2038.80,2039.43,344920
20240207,16:10:00,2039.48,2040.82,2039.24,2040.80,424010
20240207,16:15:00,2040.83,2040.84,2039.69,2040.14,80020
20240207,16:20:00,2040.14,2040.23,2038.94,2039.34,90030
20240207,16:25:00,2039.30,2039.82,2039.12,2039.43,70600
20240207,16:30:00,2039.54,2039.80,2038.63,2039.13,84120
20240207,16:35:00,2039.13,2039.44,2038.66,2039.14,83310
20240207,16:40:00,2039.19,2039.51,2037.51,2038.05,81530
20240207,16:45:00,2038.04,2038.70,2037.87,2038.42,78810
20240207,16:50:00,2038.42,2039.43,2038.34,2039.01,66180
20240207,16:55:00,2039.14,2039.39,2038.33,2038.33,74760
20240207,17:00:00,2038.26,2038.37,2037.40,2037.59,62220
20240207,17:05:00,2037.61,2037.61,2036.34,2036.41,83640
20240207,17:10:00,2036.39,2036.39,2035.07,2035.55,154710
20240207,17:15:00,2035.53,2036.57,2035.42,2036.29,103780
20240207,17:20:00,2036.28,2036.78,2035.99,2036.06,47220
20240207,17:25:00,2036.03,2036.38,2034.35,2034.38,90930
20240207,17:30:00,2034.38,2034.88,2034.00,2034.77,158210
20240207,17:35:00,2034.73,2035.69,2034.46,2035.48,138560
20240207,17:40:00,2035.48,2036.09,2035.27,2035.45,108360
20240207,17:45:00,2035.45,2035.62,2034.83,2035.18,92740
20240207,17:50:00,2035.18,2035.85,2035.13,2035.43,77580
20240207,17:55:00,2035.43,2035.64,2035.26,2035.53,82660
20240207,18:00:00,2035.56,2037.19,2034.67,2034.69,497510
20240207,18:05:00,2034.69,2036.22,2034.69,2036.20,303180
20240207,18:10:00,2036.31,2036.58,2035.89,2036.58,185370
20240207,18:15:00,2036.51,2036.63,2035.71,2035.95,111090
20240207,18:20:00,2035.94,2036.32,2035.04,2035.42,147869
20240207,18:25:00,2035.41,2036.52,2035.20,2035.30,141570
20240207,18:30:00,2035.30,2036.32,2035.03,2035.23,147420
20240207,18:35:00,2035.23,2035.32,2034.90,2035.26,108989
20240207,18:40:00,2035.26,2035.26,2034.20,2034.42,50909
20240207,18:45:00,2034.44,2034.92,2034.00,2034.84,91240
20240207,18:50:00,2034.85,2035.10,2034.69,2034.82,88229
20240207,18:55:00,2034.85,2035.03,2034.67,2034.73,115290
20240207,19:00:00,2034.73,2034.77,2034.12,2034.61,42960
20240207,19:05:00,2034.62,2035.11,2034.61,2034.73,96880
20240207,19:10:00,2034.76,2035.19,2034.71,2035.19,49980
20240207,19:15:00,2035.17,2035.57,2035.03,2035.07,55230
20240207,19:20:00,2035.07,2035.53,2034.96,2035.37,32490
20240207,19:25:00,2035.47,2035.63,2035.28,2035.44,38679
20240207,19:30:00,2035.44,2035.71,2035.18,2035.36,56880
20240207,19:35:00,2035.36,2035.38,2034.95,2035.16,16590
20240207,19:40:00,2035.14,2035.54,2035.14,2035.16,67229
20240207,19:45:00,2035.16,2035.41,2034.87,2035.41,72060
20240207,19:50:00,2035.34,2035.65,2035.26,2035.30,68750
20240207,19:55:00,2035.30,2035.57,2035.15,2035.49,65200
20240207,20:00:00,2035.49,2035.52,2035.05,2035.32,213310
20240207,20:05:00,2035.32,2035.36,2034.91,2034.93,136020
20240207,20:10:00,2034.93,2034.99,2034.38,2034.59,171970
20240207,20:15:00,2034.60,2035.65,2034.59,2035.34,117530
20240207,20:20:00,2035.34,2035.76,2035.28,2035.69,65210
20240207,20:25:00,2035.71,2035.71,2035.17,2035.19,88990
20240207,20:30:00,2035.22,2035.41,2034.69,2034.94,143590
20240207,20:35:00,2034.91,2035.45,2034.61,2035.23,177560
20240207,20:40:00,2035.23,2035.36,2035.15,2035.34,71880
20240207,20:45:00,2035.34,2035.34,2034.77,2034.88,62430
20240207,20:50:00,2034.88,2035.30,2034.64,2034.71,89820
20240207,20:55:00,2034.70,2035.02,2034.34,2034.64,124000
20240207,21:00:00,2034.63,2034.81,2034.43,2034.43,74760
20240207,21:05:00,2034.53,2034.54,2034.35,2034.41,48280
20240207,21:10:00,2034.41,2034.63,2034.27,2034.35,42480
20240207,21:15:00,2034.36,2034.43,2033.83,2034.00,55150
20240207,21:20:00,2034.00,2034.00,2033.81,2034.00,68400
20240207,21:25:00,2034.00,2034.00,2033.64,2033.76,69860
20240207,21:30:00,2033.72,2033.94,2033.61,2033.72,49850
20240207,21:35:00,2033.72,2033.84,2033.63,2033.70,49210
20240207,21:40:00,2033.69,2034.61,2033.65,2034.55,108370
20240207,21:45:00,2034.55,2034.55,2034.17,2034.32,87470
20240207,21:50:00,2034.32,2034.84,2034.31,2034.84,44750
20240207,21:55:00,2034.86,2035.03,2034.61,2034.81,50710
20240207,23:00:00,2034.51,2035.62,2034.51,2035.29,65380
20240207,23:05:00,2035.29,2035.91,2035.29,2035.79,62530
20240207,23:10:00,2035.79,2036.31,2035.63,2035.99,15749
20240207,23:15:00,2035.99,2036.21,2035.88,2035.99,28350
20240207,23:20:00,2036.01,2036.11,2035.84,2035.84,17370
20240207,23:25:00,2035.84,2036.18,2035.68,2036.11,49140
20240207,23:30:00,2036.11,2036.20,2035.61,2036.19,37800
20240207,23:35:00,2036.22,2036.35,2036.04,2036.10,11560
20240207,23:40:00,2036.13,2036.13,2035.88,2036.09,10489
20240207,23:45:00,2036.07,2036.49,2036.05,2036.10,14950
20240207,23:50:00,2036.16,2036.30,2036.07,2036.16,38010
20240207,23:55:00,2036.16,2036.49,2036.16,2036.39,49750
20240208,00:00:00,2036.39,2037.23,2036.27,2037.23,127780
20240208,00:05:00,2037.26,2037.26,2036.43,2036.53,86940
20240208,00:10:00,2036.53,2036.73,2036.43,2036.65,79020
20240208,00:15:00,2036.68,2037.28,2036.67,2037.13,58320
20240208,00:20:00,2037.21,2037.66,2037.18,2037.21,42180
20240208,00:25:00,2037.21,2037.41,2036.98,2037.04,56400
20240208,00:30:00,2037.04,2037.47,2036.97,2037.41,73500
20240208,00:35:00,2037.43,2037.52,2036.88,2036.98,45820
20240208,00:40:00,2036.91,2037.48,2036.79,2037.40,71980
20240208,00:45:00,2037.40,2037.65,2037.25,2037.46,26040
20240208,00:50:00,2037.46,2037.46,2036.81,2036.90,47840
20240208,00:55:00,2036.90,2037.26,2036.86,2037.20,25150
20240208,01:00:00,2037.26,2037.91,2037.17,2037.63,40320
20240208,01:05:00,2037.63,2038.05,2037.48,2037.84,35760
20240208,01:10:00,2037.84,2038.03,2037.54,2037.66,26699
20240208,01:15:00,2037.71,2037.87,2037.25,2037.39,78480
20240208,01:20:00,2037.39,2037.59,2037.03,2037.51,128280
20240208,01:25:00,2037.51,2037.60,2037.13,2037.44,116579
20240208,01:30:00,2037.48,2037.93,2036.69,2036.80,133310
20240208,01:35:00,2036.86,2037.36,2036.83,2037.10,43290
20240208,01:40:00,2037.10,2037.46,2036.61,2037.38,27480
20240208,01:45:00,2037.33,2037.61,2037.12,2037.28,22860
20240208,01:50:00,2037.30,2038.06,2037.30,2037.64,95020
20240208,01:55:00,2037.67,2037.67,2036.77,2037.14,158610
20240208,02:00:00,2037.13,2037.74,2036.98,2037.47,165150
20240208,02:05:00,2037.48,2038.35,2037.47,2038.07,42679
20240208,02:10:00,2038.07,2038.63,2037.92,2038.40,96020
20240208,02:15:00,2038.36,2038.36,2037.68,2037.68,42389
20240208,02:20:00,2037.64,2037.68,2036.93,2036.93,103890
20240208,02:25:00,2036.93,2036.94,2036.52,2036.73,78630
20240208,02:30:00,2036.73,2037.00,2036.46,2036.48,142350
20240208,02:35:00,2036.48,2036.88,2036.08,2036.84,81850
20240208,02:40:00,2036.85,2036.89,2036.35,2036.51,61619
20240208,02:45:00,2036.50,2036.74,2036.14,2036.30,56300
20240208,02:50:00,2036.27,2036.49,2036.10,2036.10,54410
20240208,02:55:00,2036.04,2036.35,2035.71,2036.06,79240
20240208,03:00:00,2036.13,2036.47,2035.96,2036.18,58270
20240208,03:05:00,2036.21,2036.48,2036.21,2036.33,24400
20240208,03:10:00,2036.30,2036.39,2035.46,2035.52,72890
20240208,03:15:00,2035.50,2035.50,2034.93,2035.18,68580
20240208,03:20:00,2035.18,2035.18,2034.43,2034.52,98010
20240208,03:25:00,2034.54,2034.54,2033.82,2034.13,97640
20240208,03:30:00,2034.11,2034.17,2033.65,2034.07,32819
20240208,03:35:00,2034.02,2034.02,2033.10,2033.30,104710
20240208,03:40:00,2033.30,2033.59,2033.03,2033.08,29340
20240208,03:45:00,2033.03,2033.16,2032.52,2032.88,21450
20240208,03:50:00,2032.86,2033.27,2032.76,2032.80,12750
20240208,03:55:00,2032.81,2032.82,2031.67,2032.74,113360
20240208,04:00:00,2032.72,2032.91,2032.60,2032.71,11459
20240208,04:05:00,2032.74,2033.13,2032.39,2033.02,24720
20240208,04:10:00,2033.01,2033.41,2032.78,2033.20,17340
20240208,04:15:00,2033.24,2033.46,2033.14,2033.38,28440
20240208,04:20:00,2033.38,2033.97,2033.35,2033.89,20280
20240208,04:25:00,2033.89,2033.91,2033.38,2033.42,12719
20240208,04:30:00,2033.42,2033.46,2032.82,2032.93,30509
20240208,04:35:00,2032.93,2033.10,2032.83,2033.01,18720
20240208,04:40:00,2033.03,2033.03,2032.44,2032.72,19439
20240208,04:45:00,2032.69,2032.69,2032.13,2032.28,13560
20240208,04:50:00,2032.24,2032.38,2031.76,2031.89,25380
20240208,04:55:00,2031.91,2032.34,2031.61,2032.13,35340
20240208,05:00:00,2032.05,2032.05,2031.01,2031.65,30630
20240208,05:05:00,2031.63,2032.04,2031.34,2031.87,31320
20240208,05:10:00,2031.87,2032.42,2031.86,2032.29,29700
20240208,05:15:00,2032.29,2032.52,2031.97,2032.13,22440
20240208,05:20:00,2032.11,2032.54,2032.04,2032.04,20970
20240208,05:25:00,2032.07,2032.63,2032.04,2032.35,26640
20240208,05:30:00,2032.35,2032.84,2032.08,2032.55,40200
20240208,05:35:00,2032.49,2032.73,2032.31,2032.63,26880
20240208,05:40:00,2032.63,2033.26,2032.63,2033.02,36120
20240208,05:45:00,2033.01,2033.01,2032.28,2032.29,29640
20240208,05:50:00,2032.27,2032.42,2031.96,2032.40,45240
20240208,05:55:00,2032.42,2033.69,2032.42,2033.44,55680
20240208,06:00:00,2033.45,2033.60,2032.57,2032.64,40920
20240208,06:05:00,2032.64,2033.02,2032.48,2032.90,31440
20240208,06:10:00,2032.86,2032.86,2032.26,2032.35,41880
20240208,06:15:00,2032.35,2032.85,2032.24,2032.46,35400
20240208,06:20:00,2032.44,2033.24,2032.41,2033.03,48930
20240208,06:25:00,2033.03,2033.31,2032.63,2033.28,31439
20240208,06:30:00,2033.30,2033.32,2032.71,2032.78,35820
20240208,06:35:00,2032.72,2033.02,2032.63,2032.83,9780
20240208,06:40:00,2032.85,2033.29,2032.71,2033.15,22000
20240208,06:45:00,2033.17,2034.15,2033.07,2033.68,44640
20240208,06:50:00,2033.68,2034.13,2033.38,2033.79,30779
20240208,06:55:00,2033.79,2033.79,2033.11,2033.20,19670
20240208,07:00:00,2033.17,2033.40,2032.62,2033.24,57630
20240208,07:05:00,2033.24,2033.24,2032.59,2032.99,46320
20240208,07:10:00,2032.99,2034.04,2032.82,2033.96,51000
20240208,07:15:00,2033.92,2034.42,2033.59,2034.42,50640
20240208,07:20:00,2034.42,2035.05,2034.13,2034.33,59940
20240208,07:25:00,2034.31,2034.35,2033.58,2033.66,38500
20240208,07:30:00,2033.63,2033.68,2032.78,2033.00,86130
20240208,07:35:00,2033.00,2033.60,2032.90,2033.08,68920
